region_acronym,M145,M146,M149
PBl,0.0,0.0,0.0
PBlc,0.0,0.0,0.0
PBld,0.0,0.0,0.0
PBle,0.0,0.0,0.0
PBls,0.0,0.0,0.0
PBlv,0.0,0.0,0.0
PBm,0.0,0.0,0.0
PBme,0.0,0.0,0.0
PBmm,0.0,0.0,0.0
PBmv,0.0,0.0,0.0
PC5,0.0,0.0,0.0
PCG,0.0,0.0,0.0
PCN,0.0,0.0,0.0
PD,0.0,0.0,0.0
PDTg,0.0,0.0,0.0
PERI,0.6931471805599453,0.0,0.0
PF,0.0,0.0,0.0
PFL,0.0,0.0,0.0
PG,0.0,0.0,1.6094379124341003
PGRN,0.0,0.0,0.0
PGRNd,0.0,0.0,0.0
PGRNl,0.0,0.0,0.0
PH,0.0,0.0,0.0
PHY,0.0,0.0,0.0
PIL,0.0,0.0,0.0
PIN,0.0,0.0,0.0
PIR,0.6931471805599453,4.356708826689592,0.6931471805599453
PIS,0.0,0.0,0.0
PL,0.0,0.0,0.0
PMR,0.0,0.0,0.0
PMd,0.0,0.0,0.0
PMv,0.0,0.0,0.0
PN,0.0,0.0,0.0
PO,1.3862943611198906,0.0,0.0
POL,0.6931471805599453,0.0,0.0
POR,0.0,0.0,0.0
POST,1.0986122886681098,2.4849066497880004,1.3862943611198906
PP,0.0,0.0,0.0
PPN,0.0,0.0,0.0
PPT,0.0,0.0,0.0
PPY,0.0,0.0,0.0
PPYd,0.0,0.0,0.0
PPYs,0.0,0.0,0.0
PR,0.0,1.6094379124341003,0.0
PRC,0.0,0.0,0.0
PRE,0.0,0.0,0.0
PRM,0.0,0.0,0.0
PRNc,0.0,0.0,0.0
PRNr,0.0,0.0,0.0
PRNv,0.0,0.0,0.0
PRP,0.0,0.0,0.0
PRT,0.0,0.0,0.0
PS,0.0,0.0,0.0
PSCH,0.0,0.0,0.0
PST,0.0,0.0,0.0
PSTN,0.0,0.0,0.0
PSV,0.0,0.0,0.0
PT,0.0,0.0,0.0
PTLp,0.0,0.0,0.0
PVH,0.0,0.0,0.0
PVHam,0.0,0.0,0.0
PVHap,0.0,0.0,0.0
PVHd,0.0,2.1972245773362196,0.0
PVHdp,0.0,0.0,0.0
PVHf,0.0,0.0,0.0
PVHlp,0.0,0.0,0.0
PVHm,0.0,0.0,0.0
PVHmm,0.0,0.0,0.0
PVHmpd,0.0,0.0,0.0
PVHmpv,0.0,0.0,0.0
PVHp,0.0,0.0,0.0
PVHpm,0.0,0.0,0.0
PVHpml,0.0,0.0,0.0
